input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,mean_runtime,min_runtime,max_runtime
none,none,random,0.25,0,rf,FALSE,500,ensemble_standard_deviation,,,,EI,,FALSE,,RS_1000,9,7,11
none,none,random,0.25,0,rf,TRUE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,8,6,10
none,none,random,0.25,0,rf,FALSE,10,law_of_total_variance,,,,EI,,FALSE,,RS_1000,8,7,10
none,none,random,0.25,0,rf,TRUE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,9,8,12
none,none,random,0.25,0,rf,FALSE,500,law_of_total_variance,,,,EI,,FALSE,,RS_1000,10,8,16
none,none,random,0.25,0,gp,,,,gauss,0,TRUE,EI,,FALSE,,RS_1000,174,34,317
none,none,random,0.25,0,gp,,,,matern3_2,0,TRUE,EI,,FALSE,,RS_1000,154,29,317
none,none,random,0.25,0,gp,,,,matern5_2,0,TRUE,EI,,FALSE,,RS_1000,179,49,336
none,none,random,0.25,0,gp,,,,exp,0,TRUE,EI,,FALSE,,RS_1000,108,26,210
none,none,random,0.25,0,gp,,,,gauss,1e-3,TRUE,EI,,FALSE,,RS_1000,199,50,312
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,TRUE,EI,,FALSE,,RS_1000,157,30,282
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,TRUE,EI,,FALSE,,RS_1000,177,44,309
none,none,random,0.25,0,gp,,,,exp,1e-3,TRUE,EI,,FALSE,,RS_1000,111,30,237
none,none,random,0.25,0,gp,,,,gauss,1e-8,TRUE,EI,,FALSE,,RS_1000,209,54,371
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,TRUE,EI,,FALSE,,RS_1000,158,46,334
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,TRUE,EI,,FALSE,,RS_1000,174,54,369
none,none,random,0.25,0,gp,,,,exp,1e-8,TRUE,EI,,FALSE,,RS_1000,103,29,197
none,none,random,0.25,0,gp,,,,matern3_2,0,FALSE,EI,,FALSE,,RS_1000,68,30,148
none,none,random,0.25,0,gp,,,,matern5_2,0,FALSE,EI,,FALSE,,RS_1000,72,30,124
none,none,random,0.25,0,gp,,,,exp,0,FALSE,EI,,FALSE,,RS_1000,45,21,80
none,none,random,0.25,0,gp,,,,gauss,1e-3,FALSE,EI,,FALSE,,RS_1000,73,26,142
none,none,random,0.25,0,gp,,,,matern3_2,1e-3,FALSE,EI,,FALSE,,RS_1000,63,29,117
none,none,random,0.25,0,gp,,,,matern5_2,1e-3,FALSE,EI,,FALSE,,RS_1000,69,26,137
none,none,random,0.25,0,gp,,,,exp,1e-3,FALSE,EI,,FALSE,,RS_1000,48,19,105
none,none,random,0.25,0,gp,,,,gauss,1e-8,FALSE,EI,,FALSE,,RS_1000,80,33,149
none,none,random,0.25,0,gp,,,,matern3_2,1e-8,FALSE,EI,,FALSE,,RS_1000,66,30,116
none,none,random,0.25,0,gp,,,,matern5_2,1e-8,FALSE,EI,,FALSE,,RS_1000,73,32,139
none,none,random,0.25,0,gp,,,,exp,1e-8,FALSE,EI,,FALSE,,RS_1000,47,22,100
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,PI,,,,RS_1000,77,17,159
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,Mean,,,,RS_1000,76,9,151
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,RS_1000,90,10,199
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,RS_1000,95,15,195
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,RS_1000,94,21,197
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,RS_1000,94,11,187
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,RS_1000,97,14,210
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,RS_1000,96,22,213
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,RS_1000,100,25,210
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,72,13,175
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,96,11,251
