input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,surrogate,extratrees,trees,variance_estimator,kernel,nugget,scaling,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,TRUE,CMAES,acqf,2,47,1.09347696705199,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,TRUE,CMAES,acqf,2,48,1.00862044268966,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,TRUE,CMAES,acqf,2,49,0.865606278396648,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,1,,FALSE,CMAES,acqf,2,50,0.686138268761843,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,3,,FALSE,CMAES,acqf,2,51,1.02416133358966,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,CB,10,,FALSE,CMAES,acqf,2,52,0.887609633262338,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,TRUE,,CMAES,acqf,2,53,0.709273376150905,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS_1000,acqopt,2,54,0.922984869305509,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,RS,acqopt,2,55,0.769464806400495,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LS,acqopt,2,56,0.839218572398863,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,DIRECT,acqopt,2,57,0.932950244530233,0,8,2
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,LBFGSB,acqopt,2,58,0.903300688913023,0,8,2
unitcube,none,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,input_trafo,3,1,1.04157233033992,0,8,3
none,standardize,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,output_trafo,3,2,1.03206445954201,0,8,3
none,log,lhs,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,output_trafo,3,3,1.16282795521921,0,8,3
none,none,random,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init,3,4,1.0304008029061,0,8,3
none,none,sobol,0.25,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init,3,5,1.04725833610841,0,8,3
none,none,lhs,0.05,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init_size_fraction,3,6,1.10341248955789,0,8,3
none,none,lhs,0.10,0,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,init_size_fraction,3,7,1.08964927073129,0,8,3
none,none,lhs,0.25,2,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,random_interleave_iter,3,8,0.912185194012437,0,8,3
none,none,lhs,0.25,4,gp,,,,gauss,0,FALSE,EI,,FALSE,,CMAES,random_interleave_iter,3,9,0.984339481162223,0,8,3
none,none,lhs,0.25,0,rf,TRUE,10,jack,,,,EI,,FALSE,,CMAES,surrogate,3,10,0.856833871480975,0,8,3
none,none,lhs,0.25,0,rf,FALSE,10,jack,,,,EI,,FALSE,,CMAES,surrogate,3,11,0.79043532657117,0,8,3
none,none,lhs,0.25,0,rf,TRUE,500,jack,,,,EI,,FALSE,,CMAES,surrogate,3,12,1.10545223410036,0,8,3
none,none,lhs,0.25,0,rf,FALSE,500,jack,,,,EI,,FALSE,,CMAES,surrogate,3,13,1.09614243243133,0,8,3
none,none,lhs,0.25,0,rf,TRUE,10,ensemble_standard_deviation,,,,EI,,FALSE,,CMAES,surrogate,3,14,1.07490451692028,0,8,3
