target,orig_direction,best,scenario,instance,target_variable,repl,iter
-54.3138694763184,maximize,-74.7161254882813,lcbench,167168,val_accuracy,1,25
-81.193977355957,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,26
-62.0869750976563,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,27
-42.2704849243164,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,28
-33.799201965332,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,29
-28.8901462554932,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,30
-47.2879943847656,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,31
-59.6749877929688,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,32
-76.7549667358399,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,33
-52.7031860351563,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,34
-45.8927574157715,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,35
-63.7323112487793,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,36
-48.1975860595703,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,37
-67.4822387695313,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,38
-56.7676773071289,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,39
-59.7233810424805,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,40
-40.6490364074707,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,41
-29.8712463378906,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,42
-25.9323024749756,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,43
-57.4565620422363,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,44
-55.0360260009766,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,45
-43.7164840698242,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,46
-42.1213531494141,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,47
-74.5908203125,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,48
-44.3931465148926,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,49
-24.9572658538818,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,50
-43.7561912536621,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,51
-36.3575859069824,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,52
-73.1548004150391,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,53
-79.7816390991211,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,54
-38.2222328186035,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,55
-42.948844909668,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,56
-34.856014251709,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,57
-29.7460498809815,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,58
-73.5036239624024,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,59
-62.5646209716797,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,60
-26.2573585510254,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,61
-28.4937210083008,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,62
-45.3570518493652,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,63
-30.0762596130371,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,64
-34.6060752868652,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,65
-31.4864807128906,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,66
-26.5723438262939,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,67
-45.6579818725586,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,68
-56.6274185180664,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,69
-53.3695106506348,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,70
-61.5230216979981,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,71
-43.6888084411621,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,72
-38.3872032165527,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,73
-24.542329788208,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,74
-71.6120300292969,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,75
-58.9152145385742,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,76
-35.2662811279297,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,77
-66.3419418334961,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,78
-33.2767181396484,maximize,-81.193977355957,lcbench,167168,val_accuracy,1,79
