config_id,acc,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,repl,trainsize
124,-0.9851595163345337,0.0009574725068,gbtree,0.000926570847,911,impute.hist,0.4142376865941,0.5179951899562,0.0757702286768,0.0664382629102,0.0098519935172,14.0,3.0779883992769,,,10,1.0
125,-0.9845959544181824,0.0009310667461,gbtree,0.0009174393032,911,impute.hist,0.4066278261213,0.5320705855617,0.0646582804233,0.0664789588669,0.0068247121097,14.0,3.8899701082387,,,10,1.0
126,-0.9851595163345337,0.0009145004358,gbtree,0.0009169475346,640,impute.hist,0.4312361413069,0.5265804604997,0.077787000295,0.1489421588426,0.0088527528811,14.0,3.2510767955694,,,10,1.0
127,-0.9864794611930847,0.000990301422,gbtree,0.0009256002104,641,impute.median,0.4069882750122,0.5308628392372,0.1278409243867,0.1455856167412,0.0085309248553,14.0,3.6353187366514,,,10,1.0
128,-0.10026542097330093,969.1195555539936,dart,0.0117627030515,148,impute.median,0.7321407301752,0.3534332057553,0.83278253875,0.0260985933624,0.0425564993531,3.0,4.1822437270566,0.6946490059191,0.9947092597724,10,1.0
129,-0.9849453568458557,0.0009641752554,gbtree,0.0009444615372,307,impute.median,0.4463534004333,0.5215040643849,0.1111328247862,0.0909563353081,0.0028216559982,15.0,3.9476837766204,,,10,1.0
130,-0.9837343692779541,0.0009160604747,gbtree,0.0009323800584,514,impute.mean,0.4313678868007,0.5264054298267,0.1187416088164,0.1382634390129,0.0050873708901,9.0,3.9754691788585,,,10,1.0
131,-0.9857478141784668,0.0009310667461,gbtree,0.0009762899513,725,impute.median,0.3655896671159,0.5432648304253,0.1370360380227,0.2196722619598,0.0005465862347,14.0,3.4705976164619,,,10,1.0
132,-0.985338032245636,0.000982768236,gbtree,0.0022976588418,624,impute.median,0.4119827759199,0.5609082377232,0.1370360380227,0.2406450940504,0.0004019330021,11.0,4.1376421812232,,,10,1.0
133,-0.9517183303833008,0.1064055282131,gbtree,275.300970095871,1189,impute.hist,0.7882974621245,0.4130383127747,0.1326403054683,0.0419105877401,2.1774242066337,11.0,12.3336011858867,,,10,1.0
134,-0.9876185059547424,0.0009137691904,gbtree,0.0010506186546,911,impute.median,0.3651477279894,0.5753092974045,0.1377291918334,0.0579386581145,0.0253128898758,14.0,3.0304065052049,,,10,1.0
135,-0.9544796943664551,0.0009538831794,gbtree,0.0010131068355,25,impute.median,0.3574804229254,0.5955724789045,0.1340235074988,0.0639082978557,1.2332070326801,14.0,3.5393609834493,,,10,1.0
136,-0.9837587475776672,0.0009375332612,gbtree,0.0010259090724,226,impute.median,0.3514940646065,0.5720427205666,0.1348754453431,0.289221972082,0.0122698408333,9.0,4.1445200384545,,,10,1.0
137,-0.986306369304657,0.0009163797258,gbtree,0.0023985518672,557,impute.median,0.3661091376171,0.5866953915132,0.1389002814008,0.0625733839985,0.0012253022666,11.0,3.3381735126062,,,10,1.0
138,-0.9667020440101624,0.0009192393584,gbtree,0.0009731757373,155,impute.median,0.123119924568,0.5785426652158,0.1358014439224,0.3287681336184,1.4522988506805,10.0,4.8327580207239,,,10,1.0
139,-0.9803833365440369,0.0009137691904,gbtree,0.0011673818533,244,impute.median,0.3318066440994,0.4993489147318,0.1377291918334,0.0579386581145,0.0253128898758,8.0,6.3571228885345,,,10,1.0
140,-0.9813281297683716,0.0009137691904,gbtree,0.0011057568346,324,impute.median,0.3299364021591,0.4994219144788,0.1311563172167,0.0641365717153,0.0316053468327,13.0,6.1934377704112,,,10,1.0
141,-0.09499568492174149,1027.0814355944333,gblinear,1.517143444285,21,impute.median,0.3875422245674,,,,,,,,,10,1.0
142,-0.9846109747886658,0.0009143875313,gbtree,0.0069972661931,333,impute.median,0.4145568919199,0.5822070196873,0.1487527748222,0.0727001869537,0.0015869384241,14.0,4.1397481450297,,,10,1.0
143,-0.9803870916366577,0.0015446160882,gbtree,0.0010247993083,585,impute.hist,0.356686373633,0.527984682742,0.1370360380227,0.0568217847465,0.0015866427921,2.0,6.3260446421704,,,10,1.0
144,-0.9739829897880554,0.0009931454647,gbtree,0.0020495167518,225,impute.median,0.4075702202458,0.497340736151,0.1363778816413,0.091668051893,0.0327697326987,1.0,6.3210125131144,,,10,1.0
145,-0.9767139554023743,0.0009131263837,gbtree,0.0009583152688,300,impute.median,0.134164392527,0.5774920459867,0.1578261589076,0.038153880962,0.0011925659823,11.0,3.4073105287341,,,10,1.0
146,-0.9832034707069397,0.000990301422,gbtree,0.0021035668172,454,impute.median,0.3792549551175,0.4656839321953,0.1278409243867,0.3259720915474,0.0291991500971,10.0,3.6353187366514,,,10,1.0
147,-0.978085994720459,0.000990301422,gbtree,0.0010532415042,641,impute.median,0.384359721173,0.6306837208647,0.1369539953487,0.4774646977773,0.0239870141004,15.0,2.9944463521499,,,10,1.0
148,-0.8698912262916565,5.9637744707805,gbtree,127.284265359641,764,impute.median,0.2404514770327,0.2031205370683,0.7855449488869,0.0060326403833,0.254167626874,3.0,20.6153112209705,,,10,1.0
149,-0.8597960472106934,0.001005398937,dart,0.0093208938265,1172,impute.mean,0.3900327819724,0.2533870658556,0.9271649137966,0.0013397933967,0.0685603547507,14.0,34.9597079052685,0.0483548801851,0.3321867198613,10,1.0
150,-0.9812363982200623,0.0009131263837,gbtree,0.0010556490189,911,impute.median,0.3365375762768,0.6310316208504,0.1408831054878,0.377040082771,0.026763662666,10.0,2.8848475299301,,,10,1.0
151,-0.8641363382339478,0.8724836419248,gbtree,0.5682901655543,623,impute.hist,0.8194639113117,0.1799397161776,0.3971747692427,0.002220019805,0.1552380616217,2.0,95.1765107909557,,,10,1.0
152,-0.974467933177948,0.0012437246332,gbtree,0.0010568767568,31,impute.median,0.3015323143222,0.8273933078013,0.7022695212066,0.2677338072474,0.0295003704448,6.0,2.8128636962515,,,10,1.0
153,-0.9833122491836548,0.0009137691904,gbtree,0.0010506186546,911,impute.mean,0.3626073999868,0.6212836842157,0.1377291918334,0.0198725206815,0.0253128898758,5.0,2.7211215468341,,,10,1.0
154,-0.42797112464904785,0.0012085871303,dart,0.0011246667642,571,impute.median,0.1080142668451,0.9900985072426,0.872805888431,0.4042358883496,0.031230471204,12.0,21.1044730530522,0.9868169456625,0.773620199108,10,1.0
