algorithm,scenario,instance,best,repl
mlr3mbo,lcbench,167168,-89.4262161254883,451
mlr3mbo,lcbench,167168,-89.4262161254883,452
mlr3mbo,lcbench,167168,-89.1105499267578,453
mlr3mbo,lcbench,167168,-89.2714767456055,454
mlr3mbo,lcbench,167168,-89.2762451171875,455
mlr3mbo,lcbench,167168,-86.1126251220703,456
mlr3mbo,lcbench,167168,-89.2711410522461,457
mlr3mbo,lcbench,167168,-89.2711410522461,458
mlr3mbo,lcbench,167168,-89.4265594482422,459
mlr3mbo,lcbench,167168,-89.2660293579102,460
mlr3mbo,lcbench,167168,-89.274543762207,461
mlr3mbo,lcbench,167168,-86.1126251220703,462
mlr3mbo,lcbench,167168,-89.2707977294922,463
mlr3mbo,lcbench,167168,-89.2701187133789,464
mlr3mbo,lcbench,167168,-89.4262161254883,465
mlr3mbo,lcbench,167168,-89.2524108886719,466
mlr3mbo,lcbench,167168,-89.2748870849609,467
mlr3mbo,lcbench,167168,-89.4262161254883,468
mlr3mbo,lcbench,167168,-89.2728424072266,469
mlr3mbo,lcbench,167168,-89.1999893188477,470
mlr3mbo,lcbench,167168,-89.4265594482422,471
mlr3mbo,lcbench,167168,-89.274543762207,472
mlr3mbo,lcbench,167168,-89.2707977294922,473
mlr3mbo,lcbench,167168,-89.2748870849609,474
mlr3mbo,lcbench,167168,-89.4265594482422,475
mlr3mbo,lcbench,167168,-89.4262161254883,476
mlr3mbo,lcbench,167168,-89.2752227783203,477
mlr3mbo,lcbench,167168,-89.4262161254883,478
mlr3mbo,lcbench,167168,-89.2735214233399,479
mlr3mbo,lcbench,167168,-89.2742004394531,480
mlr3mbo,lcbench,167168,-89.2673873901367,481
mlr3mbo,lcbench,167168,-89.4262161254883,482
mlr3mbo,lcbench,167168,-89.0707855224609,483
mlr3mbo,lcbench,167168,-89.2469635009766,484
mlr3mbo,lcbench,167168,-89.2738647460938,485
mlr3mbo,lcbench,167168,-86.1126251220703,486
mlr3mbo,lcbench,167168,-89.4265594482422,487
mlr3mbo,lcbench,167168,-89.4262161254883,488
mlr3mbo,lcbench,167168,-86.1126251220703,489
mlr3mbo,lcbench,167168,-89.2738647460938,490
mlr3mbo,lcbench,167168,-86.1119689941406,491
mlr3mbo,lcbench,167168,-89.2724990844727,492
mlr3mbo,lcbench,167168,-89.269775390625,493
mlr3mbo,lcbench,167168,-89.0935516357422,494
mlr3mbo,lcbench,167168,-86.1122970581055,495
mlr3mbo,lcbench,167168,-89.4262161254883,496
mlr3mbo,lcbench,167168,-86.1122970581055,497
mlr3mbo,lcbench,167168,-86.1126251220703,498
mlr3mbo,lcbench,167168,-89.2704544067383,499
mlr3mbo,lcbench,167168,-89.4262161254883,500
