job_id,problem,instance,scenario,target,mean_score,sd_score
255,rbv2_svm_40701_auc,40701,rbv2_svm,auc,-0.923311676061153,0.00493848768312183
256,rbv2_svm_40701_logloss,40701,rbv2_svm,logloss,0.225579493409395,0.00411291976028733
257,rbv2_svm_29_acc,29,rbv2_svm,acc,-0.894436453795433,0.00119306934159875
258,rbv2_svm_29_bac,29,rbv2_svm,bac,-0.913474069488048,0.00197603032375102
259,rbv2_svm_29_auc,29,rbv2_svm,auc,-0.987733382701874,0.000551854277622021
260,rbv2_svm_29_logloss,29,rbv2_svm,logloss,0.30384741345644,0.00366512293103334
261,rbv2_svm_37_acc,37,rbv2_svm,acc,-0.742275472843647,0.00152230698462563
262,rbv2_svm_37_bac,37,rbv2_svm,bac,-0.718549045348167,0.00420395839217992
263,rbv2_svm_37_auc,37,rbv2_svm,auc,-0.849957098734379,0.013515330889279
264,rbv2_svm_37_logloss,37,rbv2_svm,logloss,0.519434083962441,0.00236911377674435
265,rbv2_svm_23381_acc,23381,rbv2_svm,acc,-0.653428648090363,0.00198543686431167
266,rbv2_svm_23381_bac,23381,rbv2_svm,bac,-0.639252274298668,0.00404673673289024
267,rbv2_svm_23381_auc,23381,rbv2_svm,auc,-0.718952065801621,0.0173891673106319
268,rbv2_svm_23381_logloss,23381,rbv2_svm,logloss,0.640710690808296,0.00744740764497262
269,rbv2_svm_188_acc,188,rbv2_svm,acc,-0.708692570436001,0.0113115891715509
270,rbv2_svm_188_bac,188,rbv2_svm,bac,-0.72849601213932,0.0125951415954637
271,rbv2_svm_188_auc,188,rbv2_svm,auc,-0.951777106451988,0.0104552503068264
272,rbv2_svm_188_logloss,188,rbv2_svm,logloss,0.730095847427845,0.00826744128295233
273,rbv2_svm_41143_acc,41143,rbv2_svm,acc,-0.820520151543617,0.00317585949678892
274,rbv2_svm_41143_bac,41143,rbv2_svm,bac,-0.86993284047842,0.00423086461667609
275,rbv2_svm_41143_auc,41143,rbv2_svm,auc,-0.9422098752141,0.0059350287544987
276,rbv2_svm_41143_logloss,41143,rbv2_svm,logloss,0.413761019808054,0.00532125740025368
277,rbv2_svm_1063_acc,1063,rbv2_svm,acc,-0.839378098237514,0.000414385466474505
278,rbv2_svm_1063_bac,1063,rbv2_svm,bac,-0.703949030160904,0.00136759054215011
279,rbv2_svm_1063_auc,1063,rbv2_svm,auc,-0.803820917010307,0.00484985418034873
280,rbv2_svm_1063_logloss,1063,rbv2_svm,logloss,0.411172743809223,0.00145235484322238
281,rbv2_svm_3_acc,3,rbv2_svm,acc,-0.996403843092918,0.000561607167947119
282,rbv2_svm_3_bac,3,rbv2_svm,bac,-0.98678375326395,0.00176009101504846
283,rbv2_svm_3_auc,3,rbv2_svm,auc,-0.998996838831902,0.000339604088012478
284,rbv2_svm_3_logloss,3,rbv2_svm,logloss,0.0316308193407953,0.00309461716570976
