job_id,problem,instance,scenario,target,score,quantiles_001,quantiles_01,quantiles_05,quantiles_10,quantiles_20
2086,rbv2_xgboost_3_bac,3,rbv2_xgboost,bac,-0.994562089443207,-0.988770485877991,-0.981977109909058,-0.967695426940918,-0.953560477495193,-0.925486743450165
2087,rbv2_xgboost_3_auc,3,rbv2_xgboost,auc,-0.998132526874542,-0.996352197647095,-0.993748247623444,-0.987805008888245,-0.981882274150848,-0.968808484077454
2088,rbv2_xgboost_3_logloss,3,rbv2_xgboost,logloss,0.0346889905631542,0.0628725875541568,0.107656012922525,0.197182597219944,0.273583471775055,0.417815059423447
2089,rbv2_xgboost_1049_acc,1049,rbv2_xgboost,acc,-0.951177537441254,-0.939624549746513,-0.932246506214142,-0.924998760223389,-0.916895747184753,-0.898631632328033
2090,rbv2_xgboost_1049_bac,1049,rbv2_xgboost,bac,-0.80571061372757,-0.749727554440498,-0.724134938120842,-0.691195285320282,-0.655028957128525,-0.562052476406097
2091,rbv2_xgboost_1049_auc,1049,rbv2_xgboost,auc,-0.954980492591858,-0.9307327901721,-0.917760133743286,-0.902052488923073,-0.888206303119659,-0.851604461669922
2092,rbv2_xgboost_1049_logloss,1049,rbv2_xgboost,logloss,0.175995051860809,0.218087790340185,0.235507944375277,0.254765212535858,0.271855890750885,0.315465986728668
2093,rbv2_xgboost_40900_acc,40900,rbv2_xgboost,acc,-0.997677624225616,-0.996097566604614,-0.994944989681244,-0.993049085140228,-0.991406381130219,-0.987724006175995
2094,rbv2_xgboost_40900_bac,40900,rbv2_xgboost,bac,-0.908524930477142,-0.869741560697556,-0.850478479266167,-0.822908705472946,-0.795334595441818,-0.713915395736694
2095,rbv2_xgboost_40900_auc,40900,rbv2_xgboost,auc,-0.989558756351471,-0.98229253667593,-0.977746564745903,-0.969619783759117,-0.960718929767609,-0.939058363437653
2096,rbv2_xgboost_40900_logloss,40900,rbv2_xgboost,logloss,0.0240435395389795,0.0416416803263128,0.0495055243372917,0.0600703097879887,0.0701687559485436,0.0925095081329346
2097,rbv2_xgboost_1063_acc,1063,rbv2_xgboost,acc,-0.896563470363617,-0.889610113441944,-0.885101318359375,-0.880695998668671,-0.877516865730286,-0.870447218418121
