booster,nrounds,eta,gamma,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,rate_drop,skip_drop,num.impute.selected.cpo,acc
dart,2,,,-0.363620488904417,2.25828116205715,0.717185067455284,,,,,0.281713546063057,0,impute.hist,1
dart,7.48637759173289,,,-0.632460595108569,3.44335889166797,0.9067100727465,,,,,0.219334550639335,0.0546453294726622,impute.median,1
dart,7.39899291656911,,,0.113119401037693,4.77143724742542,0.289203640504409,,,,,0.190847980438734,0.062643596858875,impute.median,1
dart,3.36724424082786,,,-0.10596789972194,4.39481931366026,0.534639258188439,,,,,0.201542605334978,0.0587033539389875,impute.hist,1
dart,7.82259107520804,,,1.0315965549451,2.73552240297851,0.971818244457245,,,,,0.232012825594132,0.0463788754565458,impute.mean,1
dart,4.83382977471027,,,1.05214157234877,2.7468161594798,0.401634033769813,,,,,0.195012361544812,0.0253035178995253,impute.mean,1
dart,2.88198616076261,,,-6.39622309327652,-6.30870167026296,0.789346652286744,,,,,0.166533848485039,0.036410549622466,impute.mean,1
dart,4.0039607364026,,,0.311334973666817,0.77064133247711,0.334257744147733,,,,,0.271758159984983,0,impute.median,1
dart,2.23131734738126,,,0.00994172831997275,0.0387516529299319,0.706037367158569,,,,,0.226244090148782,0.0192411354260319,impute.mean,1
dart,4.28922472940758,,,-1.46679384236199,5.40583371279565,0.974527182313614,,,,,0.188897545189407,0.0375852328725159,impute.mean,1
dart,4.38575465045869,,,6.4482285939157,6.56482845425722,0.929224087414332,,,,,0.245866943090099,0.0366875709730026,impute.median,1
dart,2.81775205809364,,,-1.20191009777911,-6.64242930756882,0.448229969388713,,,,,0.205094626385028,0,impute.hist,1
dart,3.77075727638177,,,0.536982394289225,3.07414454977957,0.251783977363473,,,,,0.156264977296814,0.0509689606667005,impute.hist,1
dart,7.79096595058218,,,1.54682566056193,3.39165061337094,0.297709158961021,,,,,0.209125188555714,0,impute.median,1
dart,5.7608295205611,,,2.31778158899397,3.62432706167351,0.776774854375981,,,,,0.222929716057887,0,impute.median,1
dart,3.85531059875875,,,-1.40317304804921,3.53011232329762,0.291100867372182,,,,,0.229621492534247,0,impute.median,1
dart,6.87921737832949,,,-3.41993138164912,2.20549905765637,0.421370011095708,,,,,0.231667196839235,0.00990916113369167,impute.hist,1
dart,6.84802871264261,,,-5.53724768431857,2.0413025386199,0.697968321247026,,,,,0.213859401457759,0.0171782377667312,impute.hist,1
dart,4.94022871133953,,,-4.67991048609838,3.37961586378515,0.236444504628889,,,,,0.211779202516236,0,impute.median,1
dart,3.71116444142535,,,-1.38211691379547,5.01801377767697,0.552400053408928,,,,,0.216793050663919,0.0660058143257397,impute.hist,1
dart,6.43776831193866,,,-0.495779636966657,-2.5777814396076,0.132024962920696,,,,,0.0364853095214325,0.0317731425230675,impute.mean,1
dart,6.02478896640241,,,1.82868225825951,1.27183762185306,0.718626216473058,,,,,0.0689855368371353,0.0317731425230675,impute.median,1
dart,6.12854578671977,,,-6.12025591311976,2.68480339239598,0.404448077881111,,,,,0.220532170117175,0.00478165966209331,impute.hist,1
dart,2.40487194772465,,,-2.24453962676574,-3.99774882702232,0.149122129396387,,,,,0.0240583621971044,0.0311480517485863,impute.mean,1
dart,3.97825919139649,,,6.66585868317634,1.41536923079406,0.405110237793997,,,,,0.217947976312721,0,impute.median,1
dart,7.45595269696787,,,6.94479245878756,6.61964280988129,0.996077367593534,,,,,0.248398777789815,0,impute.hist,1
dart,3.16591137532225,,,-6.50426509138197,-7,0.129211069885474,,,,,0.0578712600907868,0.0284298778273364,impute.hist,1
dart,2.05793466418982,,,2.37256779707968,5.13506639702246,0.29887977312319,,,,,0.221801656148682,0.0535031161722997,impute.hist,1
dart,3.33932724501938,,,-4.95209685247392,2.8957946461217,0.239324806304649,,,,,0.121068881062144,0.0317481709644198,impute.median,1
