input_trafo,output_trafo,init,init_size_fraction,random_interleave_iter,trees,variance_estimator,acqf,lambda,epsilon_decay,lambda_decay,acqopt,parameter,iteration,id,mean_meta_score,n_na,n,batch_nr
none,log,random,0.25,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,4,20,0.740118928484404,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,4,21,0.752538241062855,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,acqopt,4,22,0.514382915509546,0,14,4
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,RS,acqopt,4,23,0.603491567534324,0,14,4
unitcube,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,input_trafo,5,1,0.799748002413642,0,14,5
none,none,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,5,2,0.590355847849971,0,14,5
none,standardize,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,5,3,0.71232433941424,0,14,5
none,log,lhs,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init,5,4,0.796692540210414,0,14,5
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init,5,5,0.807425983526882,0,14,5
none,log,random,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,5,6,0.781128704665098,0,14,5
none,log,random,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,5,7,0.760808644972891,0,14,5
none,log,random,0.05,2,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,5,8,0.730052110596496,0,14,5
none,log,random,0.05,4,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,5,9,0.782862847643522,0,14,5
none,log,random,0.05,0,10,law_of_total_variance,EI,,FALSE,,LS,trees,5,10,0.664055963742565,0,14,5
none,log,random,0.05,0,500,jack,EI,,FALSE,,LS,variance_estimator,5,11,0.693001540648652,0,14,5
none,log,random,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,variance_estimator,5,12,0.695814397424992,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,PI,,,,LS,acqf,5,13,0.746136825959536,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,Mean,,,,LS,acqf,5,14,0.697503048877351,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,5,15,0.767365565685528,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,5,16,0.762820587263344,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,5,17,0.790905620363658,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,5,18,0.782258287010902,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,5,19,0.766009029422941,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,5,20,0.796317751579419,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,5,21,0.796448258565066,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,acqopt,5,22,0.557419297405456,0,14,5
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,RS,acqopt,5,23,0.617678216788099,0,14,5
unitcube,log,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,input_trafo,6,1,0.768620262103608,0,14,6
none,none,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,6,2,0.605264940225356,0,14,6
none,standardize,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,output_trafo,6,3,0.682685227139316,0,14,6
none,log,random,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init,6,4,0.791572764308803,0,14,6
none,log,lhs,0.05,0,500,law_of_total_variance,EI,,FALSE,,LS,init,6,5,0.764567197040383,0,14,6
none,log,sobol,0.10,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,6,6,0.758035437427941,0,14,6
none,log,sobol,0.25,0,500,law_of_total_variance,EI,,FALSE,,LS,init_size_fraction,6,7,0.763896584738946,0,14,6
none,log,sobol,0.05,2,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,6,8,0.74308316616365,0,14,6
none,log,sobol,0.05,4,500,law_of_total_variance,EI,,FALSE,,LS,random_interleave_iter,6,9,0.7778526994675,0,14,6
none,log,sobol,0.05,0,10,law_of_total_variance,EI,,FALSE,,LS,trees,6,10,0.676667931774276,0,14,6
none,log,sobol,0.05,0,500,jack,EI,,FALSE,,LS,variance_estimator,6,11,0.727973041043722,0,14,6
none,log,sobol,0.05,0,500,ensemble_standard_deviation,EI,,FALSE,,LS,variance_estimator,6,12,0.737137703410927,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,PI,,,,LS,acqf,6,13,0.735664038709585,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,Mean,,,,LS,acqf,6,14,0.740389189859266,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,1,,TRUE,LS,acqf,6,15,0.771056015027519,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,TRUE,LS,acqf,6,16,0.786459404144767,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,10,,TRUE,LS,acqf,6,17,0.799498086823465,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,1,,FALSE,LS,acqf,6,18,0.787283261689388,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,acqf,6,19,0.814736846760874,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,CB,10,,FALSE,LS,acqf,6,20,0.791127626098254,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,TRUE,,LS,acqf,6,21,0.797898903766713,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,RS_1000,acqopt,6,22,0.546044131116332,0,14,6
none,log,sobol,0.05,0,500,law_of_total_variance,EI,,FALSE,,RS,acqopt,6,23,0.572683608300044,0,14,6
unitcube,log,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,input_trafo,7,1,0.794187087250339,0,14,7
none,none,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,7,2,0.461407928064613,0,14,7
none,standardize,sobol,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,output_trafo,7,3,0.456184351491249,0,14,7
none,log,random,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,7,4,0.807138104855077,0,14,7
none,log,lhs,0.05,0,500,law_of_total_variance,CB,3,,FALSE,LS,init,7,5,0.804807141539247,0,14,7
none,log,sobol,0.10,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,7,6,0.770615319150445,0,14,7
none,log,sobol,0.25,0,500,law_of_total_variance,CB,3,,FALSE,LS,init_size_fraction,7,7,0.753565707530913,0,14,7
none,log,sobol,0.05,2,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,7,8,0.744390001675322,0,14,7
none,log,sobol,0.05,4,500,law_of_total_variance,CB,3,,FALSE,LS,random_interleave_iter,7,9,0.782431650199784,0,14,7
none,log,sobol,0.05,0,10,law_of_total_variance,CB,3,,FALSE,LS,trees,7,10,0.660625656953074,0,14,7
none,log,sobol,0.05,0,500,jack,CB,3,,FALSE,LS,variance_estimator,7,11,0.736981756175838,0,14,7
none,log,sobol,0.05,0,500,ensemble_standard_deviation,CB,3,,FALSE,LS,variance_estimator,7,12,0.743002070337238,0,14,7
